designator,catalog,name,period,inclination,apogee,perigee,eccentricity,date,launch,tle1,tle2
2019-074A,44713,STARLINK-1007,95.85,53.0,561,559,0.0001318,11.11.2019,1-60,1 44713U 19074A   20094.58334491  .00001652  00000-0  14394-3 0  9990,2 44713  52.9984 190.2539 0001377  76.1007 313.9675 15.02311729  1710
2019-074B,44714,STARLINK-1008,95.64,53.01,550,549,0.0001179,11.11.2019,1-60,1 44714U 19074B   20094.58334491  .00000622  00000-0  61849-4 0  9995,2 44714  53.0055 190.6160 0001405  74.7303 199.2406 15.05561830 22466
2019-074C,44715,STARLINK-1009,95.64,52.99,551,549,0.0001244,11.11.2019,1-60,1 44715U 19074C   20094.58334491  .00002366  00000-0  18144-3 0  9992,2 44715  52.9934 190.6743 0001316  86.0349 241.8882 15.05585259 22457
2019-074D,44716,STARLINK-1010,95.96,53.0,566,564,0.00014330000000000001,11.11.2019,1-60,1 44716U 19074D   20094.58334491  .00004027  00000-0  33517-3 0  9990,2 44716  52.9994 187.7039 0001469  68.6764 134.6428 15.00711150 22502
2019-074E,44717,STARLINK-1011,95.64,53.0,551,549,0.000125,11.11.2019,1-60,1 44717U 19074E   20094.58334491 -.00019240  00000-0 -13042-2 0  9996,2 44717  52.9997 210.6500 0001208 103.6788  96.1165 15.05598845  1711
2019-074F,44718,STARLINK-1012,95.65,53.0,551,549,0.00010209999999999999,11.11.2019,1-60,1 44718U 19074F   20094.57598918  .00002907  00000-0  21849-3 0  9997,2 44718  52.9995 190.6821 0000885  83.7679 276.3409 15.05600152 22283
2019-074G,44719,STARLINK-1013,95.64,53.0,550,549,0.00011240000000000001,11.11.2019,1-60,1 44719U 19074G   20094.58334491 -.00000885  00000-0 -41585-4 0  9998,2 44719  52.9979 190.6517 0001210  84.9468 260.9852 15.05565078 22457
2019-074H,44720,STARLINK-1014,95.11,53.01,527,520,0.0005127999999999999,11.11.2019,1-60,1 44720U 19074H   20094.58334491  .04465518  00000-0  21634+0 0  9998,2 44720  53.0077 190.9669 0003985 271.3838 169.1722 15.13764723 22458
2019-074J,44721,STARLINK-1015,95.64,52.99,551,549,0.000146,11.11.2019,1-60,1 44721U 19074J   20094.58334491  .00004552  00000-0  33119-3 0  9997,2 44721  52.9879 190.7071 0001501  81.3634 228.5263 15.05603373 22451
2019-074K,44722,STARLINK-1016,95.64,53.01,551,549,0.00012529999999999998,11.11.2019,1-60,1 44722U 19074K   20094.58334491  .00003727  00000-0  27474-3 0  9998,2 44722  53.0086 190.6043 0001359  71.7063 220.2441 15.05589166  1718
2019-074L,44723,STARLINK-1017,95.64,53.0,551,549,0.00014869999999999998,11.11.2019,1-60,1 44723U 19074L   20094.58334491  .00012293  00000-0  86176-3 0  9991,2 44723  52.9985 190.6492 0001568  71.9882 147.9160 15.05563401  1713
2019-074M,44724,STARLINK-1019,95.64,53.0,551,549,0.0001453,11.11.2019,1-60,1 44724U 19074M   20094.58334491 -.00009165  00000-0 -61091-3 0  9997,2 44724  53.0006 190.6534 0001354  85.3578 332.6078 15.05564733  1711
2019-074N,44725,STARLINK-1020,95.64,53.0,551,549,0.00014,11.11.2019,1-60,1 44725U 19074N   20094.58334491 -.00019022  00000-0 -12892-2 0  9995,2 44725  52.9984 210.6488 0001463 110.1298 233.6317 15.05598019  1713
2019-074P,44726,STARLINK-1021,95.64,53.0,551,549,0.00012819999999999997,11.11.2019,1-60,1 44726U 19074P   20094.58334491 -.00006290  00000-0 -41299-3 0  9993,2 44726  52.9987 190.6515 0001308  84.1581 351.7595 15.05572560  1711
2019-074Q,44727,STARLINK-1022,95.64,53.03,551,549,0.0001616,11.11.2019,1-60,1 44727U 19074Q   20094.58334491 -.00031104  00000-0 -21243-2 0  9992,2 44727  53.0248 230.5196 0001675 107.7392  38.2593 15.05591297 21919
2019-074R,44728,STARLINK-1023,95.85,53.0,560,559,0.00011200000000000001,11.11.2019,1-60,1 44728U 19074R   20094.58334491 -.00005616  00000-0 -40054-3 0  9994,2 44728  53.0001 189.4529 0001145  82.6242  19.1145 15.02320810 22477
2019-074S,44729,STARLINK-1024,95.64,53.0,551,549,0.0001271,11.11.2019,1-60,1 44729U 19074S   20094.58334491 -.00014520  00000-0 -97889-3 0  9997,2 44729  52.9996 210.6440 0001301 104.8019 148.9620 15.05600049 22186
2019-074T,44730,STARLINK-1025,95.64,53.0,551,549,0.00013330000000000001,11.11.2019,1-60,1 44730U 19074T   20094.58334491 -.00000019  00000-0  17843-4 0  9999,2 44730  53.0004 190.6469 0001419  73.3263 164.5777 15.05562024  1712
2019-074U,44731,STARLINK-1026,95.64,53.0,550,549,0.0001129,11.11.2019,1-60,1 44731U 19074U   20094.58334491 -.00002677  00000-0 -16464-3 0  9990,2 44731  52.9989 190.6507 0001211  68.1539 295.7522 15.05580660  1715
2019-074V,44732,STARLINK-1027,96.06,53.0,571,569,0.0001207,11.11.2019,1-60,1 44732U 19074V   20094.58334491 -.00013113  00000-0 -10490-2 0  9990,2 44732  52.9982 209.9516 0001322  81.5806 316.6668 14.99097542  1710
2019-074W,44733,STARLINK-1028,95.64,53.0,551,549,0.00012919999999999997,11.11.2019,1-60,1 44733U 19074W   20094.58334491 -.00007643  00000-0 -50587-3 0  9994,2 44733  52.9992 190.6519 0001323  71.9719  21.9499 15.05584546  1719
2019-074X,44734,STARLINK-1029,92.28,53.0,390,382,0.0006046000000000001,11.11.2019,1-60,1 44734U 19074X   20094.60209469  .00003762  00000-0  51013-4 0  9996,2 44734  52.9982 182.4625 0005989  70.1267 290.0389 15.60500409 22400
2019-074Y,44735,STARLINK-1030,95.64,53.0,551,549,0.00012209999999999999,11.11.2019,1-60,1 44735U 19074Y   20094.58334491 -.00018582  00000-0 -12598-2 0  9999,2 44735  52.9977 210.6511 0001282 114.4031 247.3763 15.05570723  1713
2019-074Z,44736,STARLINK-1031,95.8,53.0,560,555,0.000375,11.11.2019,1-60,1 44736U 19074Z   20094.58334491  .07438555  00000-0  48339+0 0  9990,2 44736  53.0007 209.1485 0004250  36.8162 321.7213 15.01925685 22204
2019-074AA,44737,STARLINK-1032,95.64,53.0,550,549,0.00010669999999999999,11.11.2019,1-60,1 44737U 19074AA  20094.58334491 -.00005148  00000-0 -33442-3 0  9997,2 44737  53.0002 210.6425 0001072  82.8131 134.9394 15.05576243 22184
2019-074AB,44738,STARLINK-1033,95.64,52.99,551,549,0.00015719999999999997,11.11.2019,1-60,1 44738U 19074AB  20094.58334491 -.00011270  00000-0 -75549-3 0  9995,2 44738  52.9934 210.6816 0001615 115.0190 174.7405 15.05579669 22177
2019-074AC,44739,STARLINK-1052,95.64,53.0,551,549,0.00015130000000000002,11.11.2019,1-60,1 44739U 19074AC  20094.58334491 -.00017485  00000-0 -11838-2 0  9990,2 44739  52.9975 210.6519 0001571 114.1513 211.6215 15.05578931  1711
2019-074AD,44740,STARLINK-1035,95.64,53.0,550,549,0.00011200000000000001,11.11.2019,1-60,1 44740U 19074AD  20094.58334491 -.00017093  00000-0 -11565-2 0  9994,2 44740  53.0023 210.6412 0001139 106.3790 129.3898 15.05588920 22186
2019-074AE,44741,STARLINK-1036,95.64,53.0,551,549,0.00012749999999999998,11.11.2019,1-60,1 44741U 19074AE  20094.58334491 -.00020636  00000-0 -14008-2 0  9997,2 44741  52.9989 210.6473 0001281 106.7223  75.0641 15.05591515  1719
2019-074AF,44742,STARLINK-1037,95.63,53.0,551,548,0.0002114,11.11.2019,1-60,1 44742U 19074AF  20094.55744744 -.00003683  00000-0 -23287-3 0  9994,2 44742  52.9994 210.7325 0002180 134.7534 225.3631 15.05712079 22002
2019-074AG,44743,STARLINK-1038,95.64,53.0,551,549,0.00013419999999999998,11.11.2019,1-60,1 44743U 19074AG  20094.58334491 -.00022693  00000-0 -15429-2 0  9992,2 44743  52.9996 230.6471 0001369 112.0700 142.0159 15.05589328 21907
2019-074AH,44744,STARLINK-1039,95.64,53.0,550,549,0.0001113,11.11.2019,1-60,1 44744U 19074AH  20094.58334491 -.00028147  00000-0 -19191-2 0  9993,2 44744  53.0011 230.6473 0001120 101.3321 116.7380 15.05602840 21904
2019-074AJ,44745,STARLINK-1040,90.92,52.99,322,317,0.0003467,11.11.2019,1-60,1 44745U 19074AJ  20094.58025856  .00039532  00000-0  17649-3 0  9991,2 44745  52.9937 169.8410 0003583 331.5590  28.5236 15.83862197 22577
2019-074AK,44746,STARLINK-1041,95.65,53.0,551,549,0.0001529,11.11.2019,1-60,1 44746U 19074AK  20094.58334491 -.00022625  00000-0 -15384-2 0  9990,2 44746  52.9996 230.6456 0001541  96.3957 175.6733 15.05583331  1718
2019-074AL,44747,STARLINK-1042,95.64,53.02,551,549,0.00016319999999999998,11.11.2019,1-60,1 44747U 19074AL  20094.58334491 -.00029870  00000-0 -20389-2 0  9991,2 44747  53.0218 230.5266 0001671  89.6908  38.3336 15.05590347 21903
2019-074AM,44748,STARLINK-1043,95.65,53.01,551,549,0.0001636,11.11.2019,1-60,1 44748U 19074AM  20094.58334491 -.00027080  00000-0 -18462-2 0  9992,2 44748  53.0080 230.6105 0001672  79.3786 264.6549 15.05585243  1711
2019-074AN,44749,STARLINK-1044,95.64,53.0,551,549,0.0001301,11.11.2019,1-60,1 44749U 19074AN  20094.58334491 -.00016926  00000-0 -11453-2 0  9993,2 44749  53.0002 210.6485 0001315 119.1893  44.5939 15.05578706 22178
2019-074AP,44750,STARLINK-1045,95.64,53.0,551,549,0.0001268,11.11.2019,1-60,1 44750U 19074AP  20094.58334491 -.00008119  00000-0 -53846-3 0  9993,2 44750  53.0002 230.6479 0001247  88.2496 111.8633 15.05595544 21902
2019-074AQ,44751,STARLINK-1046,95.65,53.0,551,549,0.00013030000000000002,11.11.2019,1-60,1 44751U 19074AQ  20094.58334491 -.00025473  00000-0 -17354-2 0  9999,2 44751  53.0003 230.6481 0001313  99.2756 136.8276 15.05579326  1719
2019-074AR,44752,STARLINK-1047,95.64,53.0,550,549,0.000101,11.11.2019,1-60,1 44752U 19074AR  20094.58334491 -.00022518  00000-0 -15304-2 0  9990,2 44752  52.9997 210.6498 0001029 112.4160  33.4208 15.05599673  1711
2019-074AS,44753,STARLINK-1048,95.64,53.0,551,549,0.0001328,11.11.2019,1-60,1 44753U 19074AS  20094.58334491 -.00004836  00000-0 -31287-3 0  9993,2 44753  52.9996 190.6537 0001353  84.0328  81.9074 15.05591669  1718
2019-074AT,44754,STARLINK-1049,95.64,53.0,551,549,0.0001291,11.11.2019,1-60,1 44754U 19074AT  20094.58334491 -.00006359  00000-0 -41782-3 0  9997,2 44754  52.9996 190.6519 0001452  82.6347  65.3429 15.05566007  1712
2019-074AU,44755,STARLINK-1050,95.64,53.03,551,549,0.0001525,11.11.2019,1-60,1 44755U 19074AU  20094.58334491 -.00029462  00000-0 -20102-2 0  9990,2 44755  53.0278 230.4967 0001553 103.2717  78.7344 15.05599412 21915
2019-074AV,44756,STARLINK-1051,95.64,53.0,551,549,0.0001365,11.11.2019,1-60,1 44756U 19074AV  20094.58334491  .00000986  00000-0  86828-4 0  9998,2 44756  53.0006 190.6526 0001528  73.2692  56.6366 15.05573025  1710
2019-074AW,44757,STARLINK-1034,95.64,53.0,550,549,0.0001079,11.11.2019,1-60,1 44757U 19074AW  20094.58334491 -.00022975  00000-0 -15619-2 0  9991,2 44757  53.0009 210.6486 0001128 113.9452 319.8990 15.05600473 22172
2019-074AX,44758,STARLINK-1053,95.64,53.01,551,549,0.000156,11.11.2019,1-60,1 44758U 19074AX  20094.58334491 -.00029559  00000-0 -20175-2 0  9990,2 44758  53.0139 230.5754 0001647 111.0313 304.9940 15.05588608  1719
2019-074AY,44759,STARLINK-1054,95.65,53.02,551,549,0.0001484,11.11.2019,1-60,1 44759U 19074AY  20094.58334491 -.00031242  00000-0 -21341-2 0  9999,2 44759  53.0175 230.5516 0001558 101.4520 350.5722 15.05586236  1710
2019-074AZ,44760,STARLINK-1055,95.65,53.02,551,549,0.0001564,11.11.2019,1-60,1 44760U 19074AZ  20094.58334491 -.00007535  00000-0 -49852-3 0  9997,2 44760  53.0247 230.5117 0001620 115.7848  48.2739 15.05579771 21919
2019-074BA,44761,STARLINK-1056,95.64,53.02,551,549,0.0001304,11.11.2019,1-60,1 44761U 19074BA  20094.58334491 -.00032254  00000-0 -22034-2 0  9996,2 44761  53.0190 230.5407 0001374 104.9773   5.0810 15.05600111  1712
2019-074BB,44762,STARLINK-1057,95.64,53.0,551,549,0.0001431,11.11.2019,1-60,1 44762U 19074BB  20094.58334491 -.00024487  00000-0 -16670-2 0  9995,2 44762  52.9985 210.6454 0001452  66.2191  25.5132 15.05584083  1718
2019-074BC,44763,STARLINK-1058,95.64,53.01,551,549,0.0001499,11.11.2019,1-60,1 44763U 19074BC  20094.58334491 -.00029705  00000-0 -20266-2 0  9990,2 44763  53.0110 230.5993 0001519  93.3612 268.7019 15.05607131 21901
2019-074BD,44764,STARLINK-1059,95.64,53.0,551,549,0.00015780000000000001,11.11.2019,1-60,1 44764U 19074BD  20094.49686179  .00009315  00000-0  65741-3 0  9995,2 44764  53.0001 211.0323 0001636 119.5067 240.6084 15.05592122 21990
2019-074BE,44765,STARLINK-1060,95.64,53.0,551,549,0.0001328,11.11.2019,1-60,1 44765U 19074BE  20094.58334491 -.00022491  00000-0 -15290-2 0  9998,2 44765  52.9997 210.6472 0001400  97.3292 282.4363 15.05587605  1717
2019-074BF,44766,STARLINK-1061,95.65,53.01,551,549,0.0001463,11.11.2019,1-60,1 44766U 19074BF  20094.58334491 -.00029537  00000-0 -20157-2 0  9995,2 44766  53.0138 230.5837 0001497  99.5347 298.5332 15.05594110  1717
2019-074BG,44767,STARLINK-1062,95.65,53.02,551,549,0.00012880000000000001,11.11.2019,1-60,1 44767U 19074BG  20094.58334491 -.00032430  00000-0 -22166-2 0  9994,2 44767  53.0164 230.5613 0001347  87.0064 347.0437 15.05583410  1718
2019-074BH,44768,STARLINK-1063,95.64,53.0,551,549,0.000165,11.11.2019,1-60,1 44768U 19074BH  20094.58334491 -.00024779  00000-0 -16862-2 0  9998,2 44768  53.0017 230.6328 0001679  95.8923 212.1563 15.05606394  1718
2019-074BJ,44769,STARLINK-1064,95.64,53.0,551,548,0.00018519999999999998,11.11.2019,1-60,1 44769U 19074BJ  20094.58334491 -.00023909  00000-0 -16259-2 0  9993,2 44769  53.0023 230.6405 0001875 100.1404 189.9223 15.05610831  1719
2019-074BK,44770,STARLINK-1065,95.63,53.0,551,547,0.00026489999999999993,11.11.2019,1-60,1 44770U 19074BK  20094.58724488  .00002278  00000-0  17474-3 0  9999,2 44770  53.0034 230.5892 0002631 112.6358 247.4909 15.05745612 21730
2019-074BL,44771,STARLINK-1067,95.64,53.01,551,549,0.0001299,11.11.2019,1-60,1 44771U 19074BL  20094.58334491 -.00029482  00000-0 -20122-2 0  9992,2 44771  53.0116 230.5962 0001363  93.6051 286.4458 15.05587990  1710
2019-074BM,44772,STARLINK-1068,95.64,53.0,551,549,0.0001629,11.11.2019,1-60,1 44772U 19074BM  20094.58334491 -.00023395  00000-0 -15919-2 0  9998,2 44772  52.9987 210.6434 0001681 111.8659 303.8915 15.05576085 22176
2020-001A,44914,STARLINK-1073,95.64,53.0,551,548,0.0002174,07.01.2020,2-60,1 44914U 20001A   20094.58334491  .00049067  00000-0  33662-2 0  9995,2 44914  53.0002 350.6416 0002138  82.4817  32.7683 15.05548306  1718
2020-001B,44915,STARLINK-1084,95.64,53.0,551,548,0.0001899,07.01.2020,2-60,1 44915U 20001B   20094.58334491  .00042633  00000-0  29279-2 0  9997,2 44915  53.0013 350.6372 0001851  70.3065 243.0155 15.05574539 13388
2020-001C,44916,STARLINK-1097,95.65,53.0,551,548,0.0002488,07.01.2020,2-60,1 44916U 20001C   20094.58334491  .00041443  00000-0  28494-2 0  9994,2 44916  53.0013 350.6387 0002407  73.7013 185.6008 15.05545120  1719
2020-001D,44917,STARLINK-1098,95.64,53.0,551,548,0.0002126,07.01.2020,2-60,1 44917U 20001D   20094.58334491  .00041479  00000-0  28517-2 0  9990,2 44917  53.0019 350.6390 0002065  76.8810 218.3980 15.05547305 13385
2020-001E,44918,STARLINK-1099,95.64,53.0,551,548,0.00023480000000000004,07.01.2020,2-60,1 44918U 20001E   20094.58334491  .00038637  00000-0  26587-2 0  9998,2 44918  53.0026 350.6350 0002266  79.3779 161.9057 15.05547205 14125
2020-001F,44919,STARLINK-1101,95.64,53.0,552,548,0.00026319999999999995,07.01.2020,2-60,1 44919U 20001F   20094.58334491  .00034167  00000-0  23545-2 0  9994,2 44919  53.0010 350.6425 0002552  75.2495  94.0191 15.05552088  1711
2020-001G,44920,STARLINK-1102,95.64,53.0,551,548,0.0001953,07.01.2020,2-60,1 44920U 20001G   20094.58334491  .00050489  00000-0  34604-2 0  9999,2 44920  53.0009 350.6416 0001892  65.4641  85.7463 15.05571452 13382
2020-001H,44921,STARLINK-1103,95.64,53.0,551,548,0.0002298,07.01.2020,2-60,1 44921U 20001H   20094.58334491  .00034045  00000-0  23455-2 0  9992,2 44921  53.0012 350.6418 0002241  75.5848 111.7126 15.05563718 13381
2020-001J,44922,STARLINK-1104,95.64,53.0,552,548,0.0002624,07.01.2020,2-60,1 44922U 20001J   20094.58334491  .00040293  00000-0  27707-2 0  9999,2 44922  53.0029 350.6365 0002553  75.4254 147.8109 15.05553262  1715
2020-001K,44923,STARLINK-1106,95.64,53.0,551,548,0.0002129,07.01.2020,2-60,1 44923U 20001K   20094.58334491  .00039758  00000-0  27330-2 0  9996,2 44923  53.0009 350.6431 0002082  77.5294   1.7943 15.05572569  1717
2020-001L,44924,STARLINK-1111,95.64,53.0,551,548,0.0002363,07.01.2020,2-60,1 44924U 20001L   20094.58334491  .00035672  00000-0  24558-2 0  9997,2 44924  53.0007 350.6443 0002331  79.0754  54.1833 15.05568179 13382
2020-001M,44925,STARLINK-1112,95.64,53.0,551,549,0.00016480000000000002,07.01.2020,2-60,1 44925U 20001M   20094.58334491  .00041352  00000-0  28436-2 0  9999,2 44925  53.0005 350.6414 0001584  81.0916 340.2191 15.05541156 13383
2020-001N,44926,STARLINK-1113,95.64,53.01,551,548,0.0002416,07.01.2020,2-60,1 44926U 20001N   20094.58334491  .00043801  00000-0  30078-2 0  9996,2 44926  53.0067 350.6187 0002371  80.7381 304.5584 15.05565399 14123
2020-001P,44927,STARLINK-1114,95.64,53.0,551,548,0.000212,07.01.2020,2-60,1 44927U 20001P   20094.58334491  .00049334  00000-0  33831-2 0  9994,2 44927  53.0028 350.6349 0002072  66.6825 282.5891 15.05561188  1703
2020-001Q,44928,STARLINK-1119,95.65,53.0,551,548,0.0002149,07.01.2020,2-60,1 44928U 20001Q   20094.58334491  .00053715  00000-0  36814-2 0  9997,2 44928  53.0033 350.6344 0002096  73.9382 293.3408 15.05542821  1718
2020-001R,44929,STARLINK-1121,95.64,53.0,551,548,0.00024249999999999999,07.01.2020,2-60,1 44929U 20001R   20094.58334491  .00037998  00000-0  26126-2 0  9998,2 44929  52.9993 350.6453 0002386  74.3609  22.9182 15.05585094  1716
2020-001S,44930,STARLINK-1123,95.64,53.0,551,548,0.00022640000000000003,07.01.2020,2-60,1 44930U 20001S   20094.58334491  .00041549  00000-0  28561-2 0  9992,2 44930  53.0030 350.6357 0002205  71.6634 205.6028 15.05551643  1715
2020-001T,44931,STARLINK-1128,95.64,53.01,551,548,0.00023290000000000002,07.01.2020,2-60,1 44931U 20001T   20094.58334491  .00042776  00000-0  29384-2 0  9990,2 44931  53.0090 350.5980 0002272  68.0894 335.1861 15.05564486 14127
2020-001U,44932,STARLINK-1130 (DARKSAT),95.64,53.0,551,548,0.0001778,07.01.2020,2-60,1 44932U 20001U   20094.58334491  .00059058  00000-0  40404-2 0  9998,2 44932  53.0025 350.6365 0001730  67.5847 263.7332 15.05563558 14616
2020-001V,44933,STARLINK-1144,95.64,53.0,551,548,0.0002011,07.01.2020,2-60,1 44933U 20001V   20094.58334491  .00034986  00000-0  24098-2 0  9993,2 44933  53.0009 350.6438 0001911  72.9404 132.3365 15.05558610  1717
2020-001W,44934,STARLINK-1071,95.64,53.0,550,549,8.759999999999999e-05,07.01.2020,2-60,1 44934U 20001W   20094.58334491  .00033491  00000-0  23070-2 0  9993,2 44934  53.0014 330.6369 0000747  57.9098  41.4806 15.05577156  1719
2020-001X,44935,STARLINK-1072,95.64,53.0,551,548,0.0001989,07.01.2020,2-60,1 44935U 20001X   20094.58334491  .00039702  00000-0  27277-2 0  9998,2 44935  53.0027 330.6313 0001996  86.8643 174.5578 15.05593353  1718
2020-001Y,44936,STARLINK-1078,95.6,53.0,549,546,0.0001838,07.01.2020,2-60,1 44936U 20001Y   20094.16017378 -.00122557  00000-0 -83854-2 0  9991,2 44936  52.9959 332.5394 0001838  55.3692 304.7469 15.06248825 13600
2020-001Z,44937,STARLINK-1079,95.64,53.0,551,549,0.000136,07.01.2020,2-60,1 44937U 20001Z   20094.58334491  .00031227  00000-0  21532-2 0  9992,2 44937  53.0001 330.6308 0001358  91.7932 133.6597 15.05573590  1712
2020-001AA,44938,STARLINK-1082,95.64,53.0,551,548,0.0001792,07.01.2020,2-60,1 44938U 20001AA  20094.58334491  .00039232  00000-0  26975-2 0  9993,2 44938  53.0001 330.6589 0001806  81.7917 287.5618 15.05569927  1716
2020-001AB,44939,STARLINK-1083,95.64,52.99,551,549,0.0001545,07.01.2020,2-60,1 44939U 20001AB  20094.58334491  .00038432  00000-0  26431-2 0  9992,2 44939  52.9841 330.7710 0001509  78.8103 254.5306 15.05570920  1711
2020-001AC,44940,STARLINK-1091,95.64,53.0,551,548,0.00022050000000000002,07.01.2020,2-60,1 44940U 20001AC  20094.33272868 -.00009205  00000-0 -61334-3 0  9996,2 44940  52.9970 331.9859 0002325  34.4212 325.6926 15.05578627 13622
2020-001AD,44941,STARLINK-1094,95.64,53.0,551,549,0.00015309999999999998,07.01.2020,2-60,1 44941U 20001AD  20094.58334491  .00031395  00000-0  21643-2 0  9996,2 44941  53.0003 330.6358 0001496  85.8714  85.5316 15.05579724  1718
2020-001AE,44942,STARLINK-1096,95.64,53.0,551,549,0.0001361,07.01.2020,2-60,1 44942U 20001AE  20094.58334491  .00032280  00000-0  22241-2 0  9996,2 44942  53.0001 330.6310 0001352  87.0155 156.2799 15.05586918  1713
2020-001AF,44943,STARLINK-1100,95.64,52.99,551,549,0.0001436,07.01.2020,2-60,1 44943U 20001AF  20094.58334491  .00038995  00000-0  26809-2 0  9990,2 44943  52.9888 330.7125 0001408  75.9086 275.4041 15.05576727  1712
2020-001AG,44944,STARLINK-1108,95.64,53.0,551,548,0.00018530000000000003,07.01.2020,2-60,1 44944U 20001AG  20094.58334491  .00032621  00000-0  22473-2 0  9994,2 44944  53.0012 330.6387 0001795  80.7926  36.6200 15.05585959 13667
2020-001AH,44945,STARLINK-1109,95.64,52.99,551,548,0.0002364,07.01.2020,2-60,1 44945U 20001AH  20093.99751625 -.00037020  00000-0 -25271-2 0  9990,2 44945  52.9888 333.4789 0002364 111.6314 248.4926 15.05691585 13573
2020-001AJ,44946,STARLINK-1110,95.64,53.0,550,549,0.00012109999999999999,07.01.2020,2-60,1 44946U 20001AJ  20094.58334491  .00036067  00000-0  24822-2 0  9994,2 44946  53.0018 330.6329 0001168  75.9744   5.3849 15.05575774  1718
2020-001AK,44947,STARLINK-1116,95.64,53.0,551,549,0.000155,07.01.2020,2-60,1 44947U 20001AK  20094.58334491  .00032674  00000-0  22511-2 0  9998,2 44947  53.0023 330.6313 0001505  90.8793 116.4798 15.05582805 13660
2020-001AL,44948,STARLINK-1118,88.16,52.99,188,179,0.0006458,07.01.2020,2-60,1 44948U 20001AL  20093.11544131  .10026385  12155-4  15322-2 0  9994,2 44948  52.9916 320.6390 0006458 255.8970 104.1355 16.33333815 13677
2020-001AM,44949,STARLINK-1122,95.64,53.0,551,548,0.000202,07.01.2020,2-60,1 44949U 20001AM  20094.58334491  .00040004  00000-0  27503-2 0  9992,2 44949  52.9989 330.6444 0001992  80.3118 325.1163 15.05564499 13665
2020-001AN,44950,STARLINK-1125,95.64,52.99,551,549,0.0001652,07.01.2020,2-60,1 44950U 20001AN  20094.58334491  .00044548  00000-0  30581-2 0  9991,2 44950  52.9858 330.7875 0001648  76.5915 238.8279 15.05569895  1717
2020-001AP,44951,STARLINK-1126,95.64,53.0,551,549,0.000153,07.01.2020,2-60,1 44951U 20001AP  20094.58334491  .00040168  00000-0  27610-2 0  9995,2 44951  52.9987 330.6450 0001499  77.2162 310.1577 15.05570946 14959
2020-001AQ,44952,STARLINK-1117,95.64,53.0,551,548,0.0001974,07.01.2020,2-60,1 44952U 20001AQ  20094.58334491  .00032035  00000-0  22069-2 0  9993,2 44952  52.9985 330.6424 0001920  86.5142  66.8799 15.05595360 13664
